Code,Description,Default_Translation (en-en),Target_Translation (lt-lt),Has_Translation
I18N_ADD_NEW_REGISTRY,I18NCode for Add New Registry,Add New Registry,,No
I18N_ADD_PROFILE,I18NCode for Add Button in Profiles Page,Add Profile,,No
I18N_ADD_TEAM,I18NCode for Add Team,Add Team,,No
I18N_ADDRESS,I18NCode for Address,Address,,No
I18N_ADDRESS_AND_ZIP_CODE,"I18NCode for Address and zip code
",Address and zip code,,No
I18N_ADMIN,I18NCode for admin,Admin,,No
I18N_ADVANCED_DASHBOARD,I18NCode for Advanced Dashboard,Advanced Dashboard,,No
I18N_ADVANCED_SEARCH,"i18NCode for Advanced search
",Advanced search,,No
I18N_ALERT,I18NCode for Alert,Alert,,No
I18N_ALERT_REPORT,I18NCode for Alert Report,Alerts Report,,No
I18N_ALERT_TYPE,I18NCode for Alert Type,Alert Type,,No
I18N_ALERTS_LIST,I18Ncode for Alerts List,Alerts List,,No
I18N_ALL,I18NCode for ALL ,All,,No
I18N_ALL_CHAPTERS,I18NCode for All Chapters,All Chapters,,No
I18N_ALL_DDL,I18NCode for All on DDL,All,,No
I18N_ALL_MEMBERS_ADDED,I18NCode for All Members Added ,All members have already been added to the team.,,No
I18N_ALL_TRANSLATIONS,I18NCode for all translations label,All Translations,,No
I18N_ALLOW_BCC_SUBMISSIONS,I18NCode for Allow BCC Submissions label,Allow sending with Bcc,,No
I18N_ALLOW_EMAIL_SUBMISSIONS,I18NCode for Allow Email Submissions label,Allow email submissions,,No
I18N_ALLOW_FOR,I18NCode for Allow For,Allow for,,No
I18N_ALLOW_USERS_TO_VOTE_ON_MORE_THAN_ONE_OPTION,I18NCode for Allow users to vote on more than one option.,Allow users to vote on more than one option,,No
I18N_ALLOWED_NUMBER_OF_FILES_ERROR_MESSAGE,I18NCode for Allowed Number Of Files Error Message,Only up to 2 files may be uploaded!,,No
I18N_AM,I18NCode for #AM,#AM,,No
I18N_AMB,I18NCode for AMB,AMB,,No
I18N_AMBASSADOR,I18NCode for Ambassador,Ambassador,,No
I18N_AMBASSADORS_TOTAL,I18NCode for Ambassadors Total,Ambassadors,,No
I18N_AN_ERROR_OCCURRED,I18NCode for An Error Occurred,An Error occurred,,No
I18N_ANALYTICAL_COOKIES,"I18NCode for Analytical cookies
",Analytical cookies,,No
I18N_ANSWER_ANALYTICAL_COOKIES,"I18NCode for Analytical cookies
","These cookies make it possible to examine the use and the performance of the site and to improve its operation by carrying out analyses of visits to the information pages, by monitoring the open rates, the click rates and the bounce rates at the individual level.",,No
I18N_ANSWER_CONTACT_DETAILS_OF_OUR_DATA_PROTECTION_OFFICER,I18NCode for Contact details of our Data Protection Officer,"For complementary information not included in this privacy policy, or to exercise any your rights, you can contact our Data Protection Officer by email at",,No
I18N_ANSWER_CONTACT_DETAILS_OF_OUR_DATA_PROTECTION_OFFICER_2,I18NCode for ANSWER CONTACT DETAILS OF OUR_DATA PROTECTION OFFICER 2,"If you are not satisfied with us, you have the right to lodge a complaint with <strong>Portugal’s Supervisory Authority</strong> at",,No
I18N_ANSWER_COOKIE_MANAGEMENT,I18NCode for Cookie management,"Users can accept or reject cookies on the site or refuse them once and for all through their browser settings. If the User chooses to refuse all cookies, navigation onto certain pages of the site will be reduced.

Depending on the browser used by Users, the methods for deleting cookies are as follows:",,No
I18N_ANSWER_DURATION_OF_COOKIES,"I18NCode for Duration of cookies
","Cookies are placed on the User’s terminal for a maximum period of 13 months from the date of the User’s consent. After this period, consent will be re-obtained.",,No
I18N_ANSWER_FOR_HOW_THIS_INFORMATION_IS_USED,I18NCode for How this information is used,"Your personal data is used exclusively to generate reports sent to you, your chapter members, your chapter Director Consultant, chapter Area Director Consultant, Regional Executive Director or your chapter Ambassador. We also use your personal data at <strong>Reporting2You</strong> website on which only BNI Directors and authorized personnel have access.",,No
I18N_ANSWER_FUNCTIONAL_COOKIES,"I18NCode for Functional cookies
",These cookies make it possible to personalise the User experience.,,No
I18N_ANSWER_HOW_ANISETUPTASKSINR2YANDAUTOMATEZEROTOONETASK,I18NCode for Answer How anISetupTasksInR2YAndAutomateZeroToOneTask,"Starting in January 1st, 2020, Reporting2You can automatically generate tasks for directors so they can implement Zero-To-One procedure to increase Retention.<br/>
Please watch this video to understand what a Zero-To-One is, who to use it and how to setup Tasks inside Reporting2You.",,No
I18N_ANSWER_HOW_DO_WE_PROTECT_YOUR_INFORMATION,I18NCode for How do we protect your information,"We have taken all steps necessary to protect the information in our systems. We utilize encryption (for communication and storage) and security software to safeguard the confidentiality of personal information we process from unauthorized access or disclosure and accidental loss, alteration or destruction. We also perform regular tests to our infrastructure and systems in order to identify security vulnerabilities.

If you have access to Reporting2You website, remember that your account is protected in part by your password. It is important that you protect and maintain your account security and that you tell us immediately of any unauthorized use of your account.",,No
I18N_ANSWER_HOW_LONG_WILL_YOUR_INFORMATION_BE_HELD,I18NCode for How long will your information be held,"Your information will be kept in our system while you are a BNI Member, Director or Ambassador and up to 2 years after the termination of this relationship.",,No
I18N_ANSWER_IMNEWINREPORTING2YOUISTHEREANYQUICKOVERVIEW,"I18NCode for Answer ImNewInReporting2YouIsThereAnyQuickOverview

","If you are starting using Reporting2You, you should start with this video",,No
I18N_ANSWER_IMPLEMENT_GAME,I18NCode for Answer Implement Game,"From now on you can easily implement a BNI Game in your chapters and forget about all the administrative work that you, your Directors or your leadership teams would have to make it happen.<br/>
Please watch this video and learn how to use it.",,No
I18N_ANSWER_ON_FIREFOX,"Answer On Firefox
","<li>Click on the Browser Tools icon, select the Options menu.</li>
<li>In the window that appears, choose “Privacy” and click on ""Display cookies"".</li>
<li>Select the cookies to refuse and click on delete.</li>",,No
I18N_ANSWER_ON_GOOGLE_CHROME,I18NCode for Answer On Google Chrome,"<li>Click on the Tools icon, select the Options menu then click the Advanced Options tab.</li>
<li>And access the “Confidentiality” section.</li>
<li>Click on the “Show Cookies” button.</li>
<li>Select the cookies to refuse and click on delete.</li>",,No
I18N_ANSWER_ON_INTERNET_EXPLORER,i18NCode for Answer On Internet Explorer,"<li>Click the Tools button, then Internet Options.</li>
<li>Under the General tab, under Navigation History, click Settings.</li>
<li>Click the Show Files button.</li>
<li>Select the cookies to refuse and click on delete.</li>",,No
I18N_ANSWER_ON_SAFARI,i18NCode for Answer on Safari,"<li>Click the Edit icon, select the Preferences menu.</li>
<li>Click on Security and then on Show cookies.</li>
<li>Select the cookies to refuse and click on delete.</li>",,No
I18N_ANSWER_SHARING_BUTTON_COOKIES,I18NCode for Answer Sharing button cookies,These social cookies allow users to share pages and content on third-party social networks via social sharing buttons.,,No
I18N_ANSWER_THE_COOKIES_NECESSARY_FOR_NAVIGATION_ON_THE_SITE,I18NCode for Answer The cookies necessary for navigation on the site,"These cookies are necessary for the functioning of the site. They allow the main features of the site to be used. Without these cookies, Users cannot use the site normally.",,No
I18N_ANSWER_WHAT_ARE_YOUR_RIGHTS,I18NCode for What are your rights,"You have the right to access your data and that your personal data is always kept up to date. Also, you have the right to ask for us to erase all your data if you think this is in your best interest. Additionally, you have the right to withdraw your consent, in which case we will stop processing your data, meaning that your name will not be visible at any report nor at reporting2you website.

To exercise any of your rights, you may contact our Data Protection Officer, identified in the end of this policy.",,No
I18N_ANSWER_WHAT_INFORMATION_DO_WE_COLLECT_ABOUT_YOU,I18NCode for Answer What information do we collect about you,"<p>To be able to provide our services, we download from BNI Connect the following information about you:</p>

<ul>
  <li>
    First and Last Name, Company Name, Profession, Email, Telephones, BNI Role, Join Date, Renewal Date, weekly PALMS records, Membership activity and Training Attendance (if applicable in your region or chapter).
  </li>
  <li>
    If you have access to the Reporting2You website (only BNI Directors or authorized personnel), we also collect, by automatic means and through the use of the <strong>Reporting2You</strong> website, the following information: Cookies (with your authorization on the website) and Analytics (with IP anonymization).
  </li>
</ul>
",,No
I18N_ANSWER_WHAT_IS_OUR_LEGAL_BASIS_FOR_PROCESSING_YOUR_PERSONAL_DATA,I18NCode for What is our legal basis for processing your personal data,"We have a formal agreement with the your BNI Franchisee, which authorizes us to collect your data from BNI Connect. We process data with your consent under Article 6 1(a) of the General Data Protection Regulation.",,No
I18N_ANSWER_WHO_ARE_WE,i18NCode for Answer Who Are We,"<strong>DeepEye</strong> is the organization that develops and maintains the <strong>Reporting2You</strong> application and platform, aimed at giving you tools to achieve high performance and better results from your BNI membership by preparing and sending you reports that help you take decisions and actions to succeed.

We have our office established in Portugal.",,No
I18N_ANSWER_WHO_RECEIVES_YOUR_INFORMATION,I18NCode for Who receives your information,"Only you, members of your chapter, BNI Directors or the Franchisee authorized personnel can receive reports containing your personal information.",,No
I18N_ANSWERDOMEMBERSHAVEACCESSTOR2Y,I18NCode for I18NAnswerDoMembersHaveAccessToR2Y,Members from your region should watch this video.,,No
I18N_ANWSER_WHAT_IS_A_COOKIE,I18NCode for What is a Cookie,"A cookie is a piece of information placed on the hard drive of Internet users by the server of the site they visit. It contains several pieces of data: the name of the server which installed it, an identifier in the form of a unique number, and possibly an expiry date. This information is sometimes stored on the computer in a simple text file that a server accesses to read and save pieces of information.

The <strong>Reporting2You</strong> uses cookies whose purpose is to facilitate navigation on the site, to execute the service provided by <strong>DeepEye</strong>, to measure the site’s audience or to allow pages on the site to be shared.",,No
I18N_APPLICATION_DATE_,I18NCode for Application Date	,Application Date,,No
I18N_APPLY,I18NCode for Apply,Apply,,No
I18N_APRIL,I18NCode for April,April,,No
I18N_ARE_YOU_SURE_YOU_WANT_TO_REMOVE_THIS_MEMBER_,I18NCode for Are you sure you want to remove this member?,Are you sure you want to remove this member?,,No
I18N_AREA,I18NCode for Area,Area,,No
I18N_AREA_DIRECTOR_CONSULTANTS,I18NCode for Area Director Consultants,Area Director Consultants,,No
I18N_AREA_DIRECTORS,I18NCode for Area Directors Page ,Area Directors,,No
I18N_ARRIVING_TO_GREEN,I18NCode for Arriving to Green,Arriving to green,,No
I18N_ASSIGNED,I18NCode for Assigned ,Assigned,,No
I18N_ATTE,I18NCode for Atte.,Atte.,,No
I18N_ATTENDANCE_6_MONTHS,I18NCode for Attendance 6 Months,Attendance (6 month),,No
I18N_ATTENDENCE,Attendence,Attendence,,No
I18N_ATTENTION,I18NCode for Attention,Take Care,,No
I18N_ATTENTION_COUNTRY,I18NCode for Menu Attention Country,Attention Country,,No
I18N_ATTENTION_MULTIREGION,I18NCode for Menu Attention Multiregion,Attention MultiRegion,,No
I18N_AUGUST,I18NCode for August,August,,No
I18N_AVAILABLE,I18NCode for Available,Available,,No
I18N_AVAILABLE_MECANISMS,I18NCode for Available Mecanisms,Available Mecanisms,,No
I18N_AVAILABLE_MEMBERS,I18NCode for Available Members,Available Members,,No
I18N_AVERAGE_6AM,I18NCode for average(6 am),average (6 m),,No
I18N_AVERAGE_CHAPTER_SIZE,I18NCode for Average Chapter Size,Average Size,,No
I18N_AVERAGE_POINTS,I18NCode for Average Points,Average points,,No
I18N_AVERAGE_SIZE,I18NCode for average size,Average Size,,No
I18N_AVG,I18NCode for #Grn on table label,Avg,,No
I18N_AVG_DAYS,I18NCode for AVG Days,Average Days,,No
I18N_AVG_POINTS_MEMBER,I18NCode for Avg Points Member,Average points by member,,No
I18N_BACK_TO_LOGIN,I18NCode for Back to login,Back to login page,,No
I18N_BACK_TO_LOGIN_PAGE,I18NCode for Back To Login Page,Back to login page,,No
I18N_BASE,I18NCodes for base,Base,,No
I18N_BEST_PRATICES,I18NCode for Best Pratices,Best Pratices,,No
I18N_BEST_PRATICES_CONTENT,I18NCode for BEST PRATICES Content,"<ul class=""m-4"">
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Entry and Exit of Members during the previous month can only take place by 16:00 of the second working day of each month, as the information which will form the basis for the monthly calculation shall be downloaded at the end of that day;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Monthly PALMS reports should be entered by the second working day of each month as Member Traffic Lights will be calculated at the end of that day;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">PALMS reports should be entered during the 48h following the meeting and cannot be more than 4 weeks late, as they will not be considered by Reporting2You;</span>
        </li>
        <li class=""text-primary m-6"">
            <span class=""text-gray-600 fs-6"">
                Members should not be allowed to change their names and if this happens, a notification should be sent to 
                <a href=""mailto:info@reporting2you.com"" class=""text-primary text-decoration-none hover:text-primary""
                   title=""Enviar email para info@reporting2you.com"">
                    info@reporting2you.com
                </a>
                ;
            </span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Groups should not be allowed to change their names and if this happens, a notification should be sent to  <a
                    href=""mailto:info@reporting2you.com"" class=""text-primary text-decoration-none hover:text-primary""
                    title=""Enviar email para info@reporting2you.com"">
                info@reporting2you.com
            </a>;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">All Groups should have a Director Consultant and Area Director on BNI Connect</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">In order to use the Core Group report as soon as the director enters the PALMS report on BNI Connect, an e-mail should be sent to  <a
                    href=""mailto:info@reporting2you.com"" class=""text-primary text-decoration-none hover:text-primary""
                    title=""Enviar email para info@reporting2you.com"">
                info@reporting2you.com
            </a>;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Regions using Group goals will have a more detailed weekly report for Leadership Teams, as it will contain the evolution of the 8 Key Success Factors over the last two months and the current month;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Monthly Reports shall be calculated at the end of the second working day of each month;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">Leadership Teams should be up to date by 16:00 of the second working day of April and October. If any changes occur, a notification should be sent to  <a
                    href=""mailto:info@reporting2you.com"" class=""text-primary text-decoration-none hover:text-primary""
                    title=""Enviar email para info@reporting2you.com"">
                info@reporting2you.com
            </a>;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">If you want to stop receiving email with the reports, you need to uncheck the “Send emails” at “Regional Administration->Regional Settings->The Region” menu at reporting2you.com;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">You should use “Regional Administration->Regional Settings->Reports” menu to set who receives each report;</span>
        </li>
        <li class=""text-primary m-6""><span class=""text-gray-600 fs-6"">You must write the word “substitution” in the drop notes, if the drop reason is really for substitute the member.</span>
        </li>
    </ul>",,No
I18N_BEST_PRATICES_MESSAGE,I18NCode for Best Pratices Message on page,It is crucial for us to make clear what good practices are necessary for the proper operation of Reporting2You and in this sense we would like you to pay attention to the 10 points shown below:,,No
I18N_BEST_PRATICES_NOTE,I18NCode for Best Pratices Note,NOTE: Reporting2You is not responsible for any report based on faulty or incomplete information resulting from noncompliance with any of the points shown above.,,No
I18N_BNI_DAYS,I18NCode for BNI Days,BNI Days,,No
I18N_BNI_GAME_INFORMATION,I18NCode for Bni Game Information,BNI Game Information,,No
I18N_BNI_GAME_NAME,I18NCode for BNI Game Name,BNI Game Name,,No
I18N_BNI_GAMES,I18NCode for Bni Games Menu,BNI Games,,No
I18N_BNI_KPI_VIEW,I18NCode for Bni KPI View,KPI Vision in the Game,,No
I18N_BNI_TEAM_NAME,I18NCode for Bni Team Name,Team Name,,No
I18N_BNI_TEAM_VIEW,I18NCode for Bni Team View,Bni Teams Vision,,No
I18N_BROUGHT_NO_VISITOR_ON_LAST,I18NCode for Brought No Visitor On Last,Brought No Visitor On Last,,No
I18N_BUSINESS_PROFILE,I18NCode for Business Profile,Business profile,,No
I18N_CANCEL,I18NCode for Cancel,Cancel,,No
I18N_CANCEL_CANCEL_BUTTON,I18NCode for Cancel Cancel Button,"No, return",,No
I18N_CANCEL_CONFIRM_BUTTON,I18NCode for Cancel Confirm Button,"Yes, cancel it!",,No
I18N_CANCEL_MODAL,I18NCode for Cancel Modal,Are you sure you would like to cancel?,,No
I18N_CANCEL_WARNING_TEXT,I18NCode for Cancel Warning Text,Your form has not been cancelled!,,No
I18N_CC,I18NCode for #CC,#CC,,No
I18N_CC_NONEWMEMBERS_15_DAYS,I18NCode for Core Chapters with no new members in the last 15 days,Core Chapters with no new members in the last 15 days,,No
I18N_CELLPHONE,I18NCode for Cellphone,Cellphone,,No
I18N_CEU,I18NCode for CEU,CEU,,No
I18N_CEU_IS_REQUIRED,I18NCode for CEU is required,Ceu is required,,No
I18N_CEU_THE_REGION,I18NCode for CEU The Region,CEU,,No
I18N_CHAIR_VALUE,I18NCode for chair value,Chair Value,,No
I18N_CHANGE_IMAGE,I18NCode for Change Image,Change image,,No
I18N_CHANGE_SEARCH,I18NCode for Change Search Message,Change your search,,No
I18N_CHANGES_MAKE_MESSAGE,I18NCode for Changes Make Message in Modal Confirmation,Changes successfully saved!,,No
I18N_CHAPTER_AVG,Chapter AVG,Chapter AVG,,No
I18N_CHAPTER_DETAIL_PAGE,I18NCode for Chapter detail page,Chapter Detail Page,,No
I18N_CHAPTER_GOAL,I18NCode for Chapter Goal,Chapter Goal,,No
I18N_CHAPTER_GOAL_EDIT,I18NCode for Chapter Goal Edit,Edit Chapter Goal ,,No
I18N_CHAPTER_GOAL_MENU,I18NCode for Chapter Goal Menu,Chapter,,No
I18N_CHAPTER_HEALTH_FORMATION,I18NCode for Chapter Health & Formation,Chapter Health & Formation,,No
I18N_CHAPTER_IS_REQUIRED,I18NCode for Chapter is required,Chapter is required,,No
I18N_CHAPTER_LAUNCH_MONTHS,I18NCode for Chapter Launch Months on tooltip in Kpi Correlation page,Time After Launch,,No
I18N_CHAPTER_SINGULAR,I18NCode for Chapter in singular,Chapter,,No
I18N_CHAPTERS,I18nCode for chapters,Chapters,,No
I18N_CHAT_GROUP_NAME,I18NCode for Chat group name,Chat group name,,No
I18N_CHAT_PRIVATELY_WITH_A_CONTACT,I18NCode for Chat privately with a contact,Chat privately with a contact,,No
I18N_CHATS,i18NCode for Chats,chats,,No
I18N_CHOOSE_THE_TYPE_OF_CHAT,I18NCode for Choose the type of chat,Choose the type of chat,,No
I18N_CITY,I18NCode for City,City,,No
I18N_CLASSIFICATION,I18N for Member Activity Classification (Category),Category,,No
I18N_CLEAR_SELECTION,"I18NCode for Clear selection
",Clear selection,,No
I18N_CLICK_BELOW_TO_SELECT,I18NCode for Click below to select,Click below to select,,No
I18N_CLICK_TO_SEND_AN_EMAIL,I18NCode for Click to send an email,Click to send an email,,No
I18N_CLOSE,I18Ncode button close,Close,,No
I18N_CLOSE_ADVANCED_SEARCH,"I18NCode for Close advanced search
",Close advanced search,,No
I18N_CLOSE_CONFIRM_BUTTON,I18NCode for Close Confirm Button,"Yes, close it!",,No
I18N_CLOSE_MODAL,I18NCode for Close Modal Text,Are you sure you would like to close?,,No
I18N_CLOSED_CHAPTERS,I18NCode for Closed Chapters,Closed,,No
I18N_CM,I18NCode for #CM,#CM,,No
I18N_CODE,,Code,,No
I18N_COMPANY,I18NCode for Company,Company,,No
I18N_COMPANY_INFORMATION,I18NCode for Company Information,Company information,,No
I18N_COMPANY_NAME,I18NCode for Company Name,Company Name,,No
I18N_COMPLETE_THE_ACCOUNT_SETUP_PROCESS_TO_GET_STARTED,I18NCode for Complete the account setup process to get started.,Complete the account setup process to get started,,No
I18N_COMPLETED,I18NCode to Completed,Completed,,No
I18N_CONFIG,I18NCode for Config,Config,,No
I18N_CONFIGURATION_AND_GAME_PERIOD,I18NCode for Configuration and Game Period,Configuration and Game Period,,No
I18N_CONFIRM_PASSWORD,i18NCode for Confirm Password,Confirm Password,,No
I18N_CONSISTENT_GROWTH,I18NCode for Consistent Growth,Consistent Growth,,No
I18N_CONTACT,I18NCode for Contact,Contact,,No
I18N_CONTACT_DETAILS_OF_OUR_DATA_PROTECTION_OFFICER,I18NCode for Contact details of our Data Protection Officer,Contact details of our Data Protection Officer,,No
I18N_CONTACT_INFORMATION,I18NCode for Contact Information,Contact Information,,No
I18N_CONTACT_SPHERE,I18NCode for Contact Sphere,Contact Sphere,,No
I18N_CONTACT_SPHERES,I18NCode for Contact Spheres,Contact Spheres,,No
I18N_CONTACT_SPHERES_OPTION_NO_DATA,I18NCode Contact Spheres Option no data,"To activate Contact Spheres Option please send and email to info@reporting2you.com asking to activate it for your region.  By default only DCs and EDs will have access to it, to change it you need to go to Regional Administration\Regional Settings\Reports and set it after it has been activated.",,No
I18N_CONTACT_US,I18NCode for ContactUs,Contact Us,,No
I18N_CONTACTS,I18NCode for Contacts,Contacts,,No
I18N_CONTENT_MANANGMENT,I18NCodes for Content managment,Content Manangment,,No
I18N_CONTEXT,I18NCode for Context,Context,,No
I18N_CONTEXT_CODE,,Context,,No
I18N_CONTEXT_DESCRIPTION,,Context description,,No
I18N_CONTEXT_NAME,,Context Name,,No
I18N_CONTEXTS,I18NCodes for Contexts,Contexts,,No
I18N_CONTRACT_DATE,I18NCode for Contract Date,Contract Date,,No
I18N_CONV,I18NCode for Conv,Conv.,,No
I18N_CONVERSION,I18NCode for Conversion,Conversion,,No
I18N_CONVERSION_6_MONTHS,I18NCode Conversion 6 months,Conversion (6 month),,No
I18N_CONVERSION_IS_REQUIRED,I18NCode for Conversion is required,Conversion is required,,No
I18N_COOKIE_MANAGEMENT,I18NCode for Cookie management,Cookie management,,No
I18N_COOKIES_POLICY,I18NCode for Cookies Policy,Cookies Policy,,No
I18N_COORDINATING_TEAM,I18N for Coordinating Team,Coordinating Team,,No
I18N_COPY,I18NCode for Copy,Copy,,No
I18N_CORE,I18NCode for Core,Core,,No
I18N_CORE_CHAPTER,I18NCode for Core Chapter Caption,Core Chapters,,No
